City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,avarua,-21.2078,-159.775,24.03,100,75,2.57,CK,1698084433
152,amga,60.8953,131.9608,-4.73,97,99,1.96,RU,1698084674
153,kolokani,13.5728,-8.0339,31.8,35,55,1.79,ML,1698084675
154,sisimiut,66.9395,-53.6735,-4.69,85,52,4.2,GL,1698084675
155,talnakh,69.4865,88.3972,-6.07,83,99,1.35,RU,1698084449
156,lazaro cardenas,17.9583,-102.2,28.31,69,58,2.0,MX,1698084677
157,ust-nera,64.5667,143.2,-12.44,92,97,2.51,RU,1698084483
158,east ballina,-28.8667,153.5833,22.11,90,46,2.13,AU,1698084678
159,pacasmayo,-7.4006,-79.5714,23.2,72,88,7.52,PE,1698084679
160,marka,1.7159,44.7717,26.83,83,22,5.93,SO,1698084680
161,port lincoln,-34.7333,135.8667,13.3,77,14,9.27,AU,1698084466
162,santo antonio do ica,-3.1022,-67.9397,34.91,44,94,0.76,BR,1698084447
163,shingu,33.7333,135.9833,13.66,77,0,2.31,JP,1698084682
164,nabire,-3.3667,135.4833,23.85,91,96,1.81,ID,1698084452
165,charkhi dadri,28.6,76.2667,24.65,34,0,2.54,IN,1698084683
166,alness,57.696,-4.2551,6.87,91,87,0.51,GB,1698084684
167,fort st. john,56.2499,-120.8529,-7.32,74,100,2.38,CA,1698084685
168,susuman,62.7833,148.1667,-17.15,100,99,0.18,RU,1698084685
169,kapa'a,22.0752,-159.319,25.99,88,40,7.2,US,1698084686
170,hilo,19.7297,-155.09,27.01,77,75,2.06,US,1698084687
171,barra de santo antonio,-9.4047,-35.5072,29.6,57,10,4.29,BR,1698084687
172,burela de cabo,43.65,-7.4,13.43,78,22,3.97,ES,1698084688
173,tazovsky,67.4667,78.7,-3.56,95,92,3.01,RU,1698084417
174,pangody,65.85,74.4859,-4.88,89,47,4.09,RU,1698084690
175,weno,7.4515,151.8468,25.97,94,75,1.54,FM,1698084691
176,st. john's,47.5649,-52.7093,7.6,91,100,5.81,CA,1698084434
177,la'ie,21.6477,-157.9253,26.98,73,99,2.24,US,1698084692
178,margate,51.3813,1.3862,12.05,89,100,1.34,GB,1698084547
179,tofol,5.3248,163.0078,28.36,73,25,1.92,FM,1698084693
180,udachny,66.4167,112.4,-13.16,99,94,1.37,RU,1698084611
181,deir ez-zor,35.3359,40.1408,25.38,33,51,1.08,SY,1698084695
182,rexburg,43.826,-111.7897,11.97,81,75,3.09,US,1698084695
183,saudarkrokur,65.7461,-19.6394,0.8,83,15,2.01,IS,1698084696
184,laguna,38.421,-121.4238,21.16,79,0,2.06,US,1698084697
185,changji,44.0167,87.3167,11.44,54,0,1.0,CN,1698084697
186,alice springs,-23.7,133.8833,24.75,16,0,3.09,AU,1698084698
187,hasaki,35.7333,140.8333,13.22,69,2,1.06,JP,1698084699
